group,y_true,score,split,y_pred
A,0,0.4072979813049247,val,0
A,0,0.09904792675539226,train,0
A,0,0.24884847654625872,test,0
A,0,0.13017905767425111,train,0
A,1,0.5981126406487938,train,1
A,1,0.8457324471238045,train,1
A,1,0.7665023966022436,train,1
A,0,0.1929678471742564,train,0
A,0,0.20371634190303844,val,0
A,0,0.10539904173973104,val,0
A,1,0.7509282370612582,train,1
A,0,0.11545456630731216,train,0
A,0,0.5445939239844048,train,1
A,0,0.16222256349719918,train,0
A,1,0.8681053331476917,train,1
A,1,0.36603544801931076,train,0
A,0,0.18601779478573388,val,0
A,0,0.24463246150361645,val,0
A,0,0.3023571224110568,test,0
A,0,0.15304629832405187,train,0
A,0,0.248292629503683,test,0
A,1,0.6683259089441194,train,1
A,0,0.1980873097959374,train,0
A,0,0.14704596278389911,test,0
A,0,0.13464891215512925,train,0
A,0,0.23951820276325989,train,0
A,1,0.6562473055711492,val,1
A,0,0.12316858262950178,test,0
A,0,0.2385513846309622,val,0
A,1,0.715330805953402,train,1
A,0,0.10651550414768843,train,0
A,1,0.8582109923597389,test,1
A,1,0.7662274670771995,train,1
A,0,0.38136064134600584,train,0
A,0,0.11834217633536433,train,0
A,0,0.06357579390583536,train,0
A,0,0.046102979947352546,train,0
A,1,0.7061751327013995,train,1
A,0,0.2641616777155537,train,0
A,0,0.11628819947971741,train,0
A,1,0.70888118231323,train,1
A,0,0.3153699515748227,train,0
A,1,0.7305306009529752,val,1
A,0,0.3325135214049226,train,0
A,0,0.19541622457865768,train,0
A,0,0.3293619477471917,test,0
A,0,0.31714398979664304,train,0
A,0,0.39498591208384887,train,0
A,0,0.12557965670158205,train,0
A,1,0.8790281842432534,val,1
A,0,0.03338608630698276,test,0
A,0,0.008607640586611488,test,0
A,0,0.30109536580071744,val,0
A,0,0.17336822819585995,train,0
A,0,0.07507023639282161,train,0
A,0,0.1954973470016562,train,0
A,1,0.8025059307184799,train,1
A,1,0.553938264607798,val,1
A,1,0.8081576442093596,train,1
A,0,0.1516589647364927,train,0
A,0,0.17677074410006685,val,0
A,0,0.1708696306287625,train,0
A,0,0.28797638346131404,train,0
A,0,0.08460188478837098,train,0
A,0,0.18062876777738526,train,0
A,0,0.12497730774068817,train,0
A,1,0.815985302809914,train,1
A,0,0.24387671237865138,train,0
A,1,0.993571567851676,val,1
A,0,0.10817089363147903,test,0
A,0,0.07084086890229406,train,0
A,1,0.8680541034522785,train,1
A,1,0.7422657084441071,val,1
A,0,0.22802546913568417,test,0
A,0,0.2074988595315992,train,0
A,0,0.045782975816222586,train,0
A,0,0.35825645114347066,val,0
A,1,0.89892367239504,train,1
A,0,0.23605483581837375,train,0
A,1,0.7681642913472556,train,1
A,0,0.14395374649918852,train,0
A,0,0.026996433970215016,train,0
A,0,0.3132412751809329,train,0
A,1,0.8235510908080886,test,1
A,0,0.21058533278490957,train,0
A,0,0.26913343247859656,train,0
A,0,0.19997310255797424,train,0
A,0,0.041520620106612637,test,0
A,0,0.15056914193695556,train,0
A,0,0.27611516449599655,train,0
A,1,0.8433896837114173,train,1
A,0,0.05169362768803917,val,0
A,0,0.15706978756665857,train,0
A,0,0.0790294969353361,train,0
A,0,0.2883418799150898,train,0
A,0,0.17242117552042593,test,0
A,0,0.2734867546188187,train,0
A,0,0.2666728390699405,val,0
A,1,0.8287048693055614,test,1
A,1,0.8428923047854171,test,1
A,1,0.5842934280593529,train,1
A,0,0.45477533561991734,test,0
A,0,0.40856664504925,train,0
A,0,0.06446692425104318,train,0
A,0,0.25124728653373063,test,0
A,0,0.48578871845695704,train,0
A,0,0.23623174587543289,train,0
A,0,0.4937810197725849,train,0
A,0,0.15543432579497193,train,0
A,1,0.7362115752892462,train,1
A,0,0.34510284656252543,val,0
A,1,0.8466994472282473,test,1
A,0,0.4395908649639022,train,0
A,0,0.0974722286042951,train,0
A,0,0.15858075199243435,test,0
A,0,0.457839273670827,train,0
A,0,0.17559845561547135,train,0
A,1,0.5825823708731076,train,1
A,0,0.30791185798545934,train,0
A,0,0.3255044882498315,train,0
A,0,0.10002172645187261,train,0
A,0,0.3086691002752189,train,0
A,0,0.25178858738482063,train,0
A,1,0.46672305227287775,train,0
A,0,0.11180290119768094,val,0
A,0,0.1210487149506618,val,0
A,0,0.435604559269974,train,0
A,0,0.08934960778969096,train,0
A,1,0.6990123263684086,test,1
A,0,0.28489116114117063,train,0
A,0,0.21708938114624507,test,0
A,0,0.33969337582277737,train,0
A,1,0.9279455869138129,test,1
A,0,0.29580591699564507,train,0
A,0,0.16761993812812748,train,0
A,0,0.11826603247448099,val,0
A,0,0.40847306589850935,train,0
A,0,0.3954686248043022,train,0
A,0,0.22490569003507432,train,0
A,0,0.19251916813941908,val,0
A,0,0.07376974398721531,train,0
A,0,0.3393807765200407,train,0
A,0,0.4365100085193295,train,0
A,0,0.0794523116420263,train,0
A,0,0.0932755248970277,train,0
A,1,0.7630473253597615,train,1
A,0,0.0958840088687625,train,0
A,0,0.14187386007763114,train,0
A,1,0.66797169519331,train,1
A,0,0.19575691817333,train,0
A,0,0.17824200172644317,train,0
A,0,0.06847257883556272,train,0
A,1,0.94130873210273,test,1
A,0,0.43238770347540334,train,0
A,0,0.10059103274924713,val,0
A,0,0.18440042926252,train,0
A,0,0.11701418829910513,train,0
A,0,0.3622575301897584,train,0
A,0,0.11505295684596445,train,0
A,0,0.215265640186295,test,0
A,0,0.4838470309053095,test,0
A,0,0.1546351555847448,val,0
A,0,0.22744115657442224,train,0
A,0,0.10088315995270271,train,0
A,1,0.5824776225777575,train,1
A,0,0.1788621125988224,test,0
A,0,0.27786213867346204,train,0
A,1,0.8876746194057324,train,1
A,1,0.7689245326462958,train,1
A,0,0.07322719720951389,train,0
A,0,0.15513432126043822,test,0
A,1,0.5443042714095676,train,1
A,0,0.23781623368252403,train,0
A,0,0.03938002615792091,train,0
A,0,0.26582320729882297,val,0
A,1,0.8295570315961339,train,1
A,0,0.216060399567081,val,0
A,0,0.12652294362573274,train,0
A,0,0.19697873726468074,test,0
A,1,0.7796373841429821,val,1
A,0,0.43108919545827873,train,0
A,1,0.7767313661576476,train,1
A,0,0.06010650093371311,train,0
A,0,0.1984762596864165,train,0
A,0,0.2915225781006205,test,0
A,0,0.10712777360855245,train,0
A,0,0.14928988913030272,train,0
A,0,0.3406126986218805,train,0
A,0,0.1746784945418953,train,0
A,0,0.10065065423145471,test,0
A,1,0.8498326853325101,train,1
A,0,0.07952119012660118,test,0
A,0,0.2972243631098898,test,0
A,0,0.507349254874135,train,1
A,0,0.23621460425752094,train,0
A,0,0.2821024477723893,test,0
A,0,0.13132993114511343,train,0
A,0,0.08052709975595741,train,0
A,0,0.06541930505259018,train,0
A,0,0.2741161636326688,train,0
A,0,0.36520073977745676,val,0
A,1,0.7923957252578596,train,1
A,1,0.8804918606865997,train,1
A,0,0.15511337553423749,test,0
A,0,0.13158011164258337,val,0
A,1,0.7686960311258921,train,1
A,1,0.9723404834935223,val,1
A,0,0.08402690191206856,train,0
A,1,0.7597270515906998,val,1
A,1,0.9002271275755223,train,1
A,0,0.3304503081528661,train,0
A,0,0.18191096909703383,val,0
A,0,0.15991768883165622,train,0
A,0,0.16786259745814416,test,0
A,0,0.3305219149185741,train,0
A,0,0.14694788930405367,test,0
A,0,0.19429984023062732,test,0
A,0,0.29322334464295663,train,0
A,0,0.2716166337722045,val,0
A,0,0.331488038840897,train,0
A,0,0.10316424305893693,test,0
A,0,0.24463449261088702,train,0
A,1,0.8913972303719937,val,1
A,0,0.2392282900200072,train,0
A,0,0.20287248581421174,train,0
A,0,0.35667141368754707,train,0
A,0,0.37998609333284644,train,0
A,0,0.08084489898053708,val,0
A,0,0.10484300277026874,train,0
A,0,0.43243064550613436,train,0
